id, pred
0, 6
1, 0
2, 4
3, 1
4, 6
5, 7
6, 5
7, 9
8, 9
9, 2
10, 6
11, 2
12, 3
13, 0
14, 6
15, 0
16, 1
17, 6
18, 2
19, 0
20, 2
21, 0
22, 3
23, 3
24, 2
25, 7
26, 5
27, 3
28, 5
29, 4
30, 6
31, 2
32, 9
33, 4
34, 0
35, 1
36, 0
37, 0
38, 9
39, 2
40, 2
41, 1
42, 6
43, 2
44, 2
45, 3
46, 2
47, 8
48, 6
49, 7
50, 7
51, 7
52, 2
53, 4
54, 6
55, 9
56, 3
57, 6
58, 0
59, 0
60, 2
61, 2
62, 8
63, 6
64, 6
65, 2
66, 2
67, 4
68, 6
69, 8
70, 9
71, 0
72, 6
73, 4
74, 6
75, 8
76, 7
77, 0
78, 0
79, 2
80, 4
81, 0
82, 1
83, 4
84, 3
85, 5
86, 2
87, 2
88, 9
89, 2
90, 2
91, 2
92, 2
93, 9
94, 4
95, 0
96, 9
97, 4
98, 8
99, 3
100, 1
101, 1
102, 9
103, 2
104, 8
105, 9
106, 9
107, 7
108, 7
109, 2
110, 6
111, 7
112, 0
113, 2
114, 3
115, 6
116, 2
117, 7
118, 1
119, 0
120, 0
121, 5
122, 2
123, 0
124, 1
125, 0
126, 6
127, 8
128, 0
129, 0
130, 9
131, 8
132, 2
133, 2
134, 0
135, 8
136, 6
137, 7
138, 3
139, 7
140, 2
141, 9
142, 6
143, 6
144, 2
145, 0
146, 2
147, 4
148, 0
149, 0
150, 3
151, 6
152, 2
153, 8
154, 1
155, 7
156, 5
157, 1
158, 2
159, 2
160, 6
161, 3
162, 8
163, 2
164, 2
165, 7
166, 8
167, 3
168, 9
169, 6
170, 2
171, 0
172, 2
173, 7
174, 6
175, 3
176, 0
177, 8
178, 6
179, 7
180, 9
181, 8
182, 2
183, 0
184, 1
185, 3
186, 0
187, 6
188, 3
189, 0
190, 4
191, 2
192, 3
193, 0
194, 7
195, 7
196, 5
197, 0
198, 8
199, 1
200, 0
201, 0
202, 0
203, 4
204, 6
205, 2
206, 2
207, 6
208, 4
209, 1
210, 2
211, 4
212, 0
213, 9
214, 8
215, 2
216, 2
217, 5
218, 4
219, 6
220, 2
221, 6
222, 3
223, 3
224, 1
225, 4
226, 1
227, 9
228, 2
229, 9
230, 3
231, 2
232, 0
233, 6
234, 2
235, 0
236, 0
237, 6
238, 9
239, 1
240, 6
241, 5
242, 5
243, 7
244, 3
245, 0
246, 8
247, 6
248, 8
249, 6
250, 9
251, 0
252, 0
253, 9
254, 0
255, 7
256, 0
257, 0
258, 2
259, 4
260, 0
261, 6
262, 0
263, 2
264, 3
265, 9
266, 8
267, 5
268, 6
269, 6
270, 0
271, 5
272, 9
273, 5
274, 8
275, 3
276, 2
277, 9
278, 7
279, 1
280, 0
281, 1
282, 3
283, 8
284, 6
285, 5
286, 8
